Символ,Код
те,0000000
 д,0000001
"i
",0000010000000
ii,0000010000001
«к,0000010000010
б ,0000010000011
"б,",0000010000100
вп,0000010000101
вт,0000010000110
дт,0000010000111
бу,0000010001
вь,000001001000
вя,000001001001
дб,00000100101
дс,00000100110
е-,0000010011100
еу,0000010011101
е;,000001001111
ее,000001010
ж ,0000010110000
зб,0000010110001
жу,000001011001
зи,00000101101
зо,00000101110
и?,0000010111100
иа,0000010111101
й!,0000010111110
кд,0000010111111
йд,000001100000
л.,000001100001
лг,000001100010
лл,000001100011
лт,0000011001000
ню,0000011001001
мл,000001100101
н.,000001100110
о!,000001100111
нь,000001101
о:,0000011100000
о;,0000011100001
о»,0000011100010
оу,0000011100011
оф,0000011100100
оц,0000011100101
пь,0000011100110
р.,0000011100111
оз,0000011101
р ,000001111000
рг,0000011110010
рп,0000011110011
рм,000001111010
рч,0000011110110
ср,0000011110111
ря,00000111110
сх,000001111110
сю,0000011111110
т:,0000011111111
см,0000100000
тд,0000100001000
тт,0000100001001
тл,000010000101
у-,0000100001100
фе,0000100001101
х?,0000100001110
хи,0000100001111
"у,",000010001
ху,000010010000
цы,0000100100010
ч.,0000100100011
"ч,",00001001001
чш,0000100101000
щу,0000100101001
шь,000010010101
чь,00001001011
ъе,0000100110000
ы?,0000100110001
ыб,000010011001
ь?,0000100110100
ьи,0000100110101
юд,000010011011
юс,000010011100
ющ,000010011101
юю,0000100111100
я;,0000100111101
яз,0000100111110
яч,0000100111111
– ,0000101
во,0000110
ли,0000111
ни,0001000
ар,00010010
ес,00010011
зн,000101000
-т,0001010010
еш,0001010011
 р,00010101
".
",00010110
ий,0001011100
ия,0001011101
"м,",000101111
мо,00011000
ти,00011001
 б,0001101
нн,000111000
св,000111001
со,000111010
ха,0001110110
"
и",00011101110
бя,00011101111
ый,000111100
а.,0001111010
бр,0001111011
аж,000111110
бе,000111111
аз,00100000
"в,",0010000100
дл,00100001010
ды,00100001011
иб,00100001100
нс,00100001101
тс,0010000111
ль,00100010
ой,00100011
уч,0010010000
шу,00100100010
яд,00100100011
х ,001001001
ше,001001010
ю ,001001011
в ,0010011
вс,00101000
сь,00101001
ло,0010101
ив,00101100
гд,001011010
ез,001011011
жн,0010111000
ши,0010111001
ок,001011101
тр,00101111
", ",00110
я ,0011100
"ы,",0011101000
ых,0011101001
ьк,0011101010
ьс,0011101011
ле,00111011
ь ,0011110
он,0011111
 з,01000000
ди,010000010
ож,010000011
та,0100001
ро,0100010
чи,010001100
яю,010001101000
"
в",010001101001
"
н",010001101010
"
с",010001101011
-н,010001101100
-п,010001101101
».,010001101110
аб,010001101111
ап,0100011100
бн,010001110100
в.,010001110101
вз,01000111011
ги,01000111100
"д,",010001111010
дц,010001111011
е?,010001111100
ея,010001111101
жк,010001111110
зя,010001111111
бы,01001000
из,010010010
ищ,01001001100
