Символ,Код
йн,010010011010
йс,010010011011
к.,010010011100
кн,010010011101
л:,010010011110
нр,010010011111
ну,010010100
оо,010010101000
ою,010010101001
рт,01001010101
"с,",010010101100
фи,010010101101
су,01001010111
тк,01001011000
уп,01001011001
хл,010010110100
хн,010010110101
чк,010010110110
ьт,010010110111
эт,010010111
ин,01001100
ск,01001101
ку,010011100
ум,010011101
т ,01001111
е ,010100
шк,01010100000
ьш,01010100001
"т,",0101010001
"я,",010101001
 э,010101010
бо,010101011
ид,010101100
тв,010101101
уж,010101110
юб,0101011110
як,010101111100
№ ,01010111110100
"
v",010101111101010
"
б",010101111101011
"
а",0101011111011
 «,01010111111
 н,010110
ка,0101110
ас,01011110
ие,010111110
са,010111111
ва,0110000
н ,01100010
 я,011000110
жа,011000111
 и,011001
жд,0110100000
зы,01101000010
й.,01101000011
жи,011010001
иг,0110100100
лж,01101001010
мс,01101001011
ик,011010011
ра,0110101
"н,",01101100000
пу,01101100001
оп,0110110001
сы,01101100100
"…
",01101100101
ул,0110110011
до,01101101
ов,0110111
ла,0111000
же,01110010
ан,01110011
а ,011101
ую,0111100000
ыв,0111100001
е.,0111100010
ур,0111100011
к ,01111001
си,011110100
ус,0111101010
уш,0111101011
че,01111011
 с,011111
ша,1000000000
… ,10000000010
"
д",100000000110000
"
е",100000000110001
"
з",10000000011001
"
к",1000000001101
"
м",100000000111000
"
ч",100000000111001
"
т",10000000011101
"
э",100000000111100
"
я",100000000111101
 1,100000000111110
 l,100000000111111
"
–",100000001
ны,10000001
 т,1000001
вн,100001000
"
п",10000100100
 n,100001001010000
 p,100001001010001
 q,100001001010010
 t,100001001010011
 щ,10000100101010
 №,100001001010110
(в,100001001010111
 ф,100001001011
!»,10000100110000
(о,100001001100010
(с,100001001100011
) ,100001001100100
"),",100001001100101
);,100001001100110
-n,100001001100111
-в,100001001101000
-и,100001001101001
-к,10000100110101
-о,100001001101100
-у,100001001101101
-ч,10000100110111
".,",100001001110000
.[,100001001110001
.»,10000100111001
17,100001001110100
1],100001001110101
"7,",100001001110110
[1,100001001110111
?»,1000010011110
"]
",100001001111100
ce,100001001111101
di,100001001111110
do,100001001111111
за,10000101
ко,1000011
и ,100010
; ,1000110000
du,100011000100000
e-,100011000100001
e ,10001100010001
es,100011000100100
ez,100011000100101
hе,100011000100110
in,100011000100111
it,100011000101000
iv,100011000101001
l’,100011000101010
n ,100011000101011
nc,100011000101100
nn,100011000101101
ne,10001100010111
no,100011000110000
ou,100011000110001
on,10001100011001
pi,100011000110100
qu,100011000110101
s ,10001100011011
te,100011000111000
th,100011000111001
u ,100011000111010
ue,100011000111011
us,100011000111100
"z,",100011000111101
"v
",10001100011111
«а,1000110010000
«б,100011001000100
«в,100011001000101
«г,100011001000110
«д,100011001000111
«з,10001100100100
«л,100011001001010
«м,100011001001011
«о,10001100100110
«п,10001100100111
«с,100011001010000
«т,100011001010001
«у,100011001010010
»),100011001010011
а!,1000110010101
а:,1000110010110
а;,100011001011100
ац,100011001011101
ау,10001100101111
а?,1000110011000
аф,10001100110010
б.,10001100110011
ащ,100011001101
аю,10001100111
б?,100011010000000
бк,100011010000001
бс,10001101000001
бх,1000110100001
бщ,100011010001
бъ,10001101001000
бь,100011010010010
вх,100011010010011
вв,10001101001010
вм,10001101001011
вч,100011010011000
"г,",100011010011001
г.,10001101001101
вш,1000110100111
ву,1000110101
г ,10001101100
ге,1000110110100
гк,10001101101010
гн,10001101101011
гч,10001101101100
д!,100011011011010
дд,100011011011011
д.,1000110110111
дв,10001101110
дж,100011011110000
дп,100011011110001
дх,100011011110010
дъ,100011011110011
дш,1000110111101
е!,1000110111110
е:,10001101111110
е»,100011011111110
ж.,100011011111111
ду,100011100
еа,1000111010000
еи,1000111010001
ец,1000111010010
е…,1000111010011
"ж,",10001110101000
ж?,10001110101001
жб,100011101010100
жо,100011101010101
жь,100011101010110
зр,100011101010111
"з,",10001110101100
зт,100011101011010
и:,100011101011011
и;,10001110101110
и»,100011101011110
иу,100011101011111
з ,1000111011
зм,100011110000
ип,1000111100010
и…,10001111000110
й:,100011110001110
й»,100011110001111
й-,1000111100100
й;,10001111001010
йк,10001111001011
йл,100011110011000
к:,100011110011001
йш,10001111001101
й…,10001111001110
к;,10001111001111
ио,1000111101
йм,100011111000
к?,10001111100100
кз,10001111100101
кв,1000111110011
км,100011111010000
лб,100011111010001
лв,10001111101001
лз,100011111010100
лп,100011111010101
л…,10001111101011
лч,100011111011
м!,100011111100000
мг,100011111100001
мп,100011111100010
мц,100011111100011
м-,1000111111001
м;,1000111111010
мр,1000111111011
мт,1000111111100
мч,100011111110100
н?,100011111110101
м…,10001111111011
мь,100011111111
мн,100100000
нв,100100001000000
нг,100100001000001
нд,100100001000010
нж,100100001000011
нк,10010000100010
нф,100100001000110
о),100100001000111
нц,1001000010010
нщ,10010000100110
пк,100100001001110
пн,100100001001111
о?,100100001010
ощ,100100001011
о…,100100001100
пч,10010000110100
р:,100100001101010
рб,100100001101011
рж,1001000011011
пы,100100001110
рд,100100001111
рл,10010001000000
рр,10010001000001
рш,100100010000100
рщ,100100010000101
с!,100100010000110
с-,100100010000111
рю,1001000100010
с?,100100010001100
сг,100100010001101
сд,100100010001110
сш,100100010001111
сч,100100010010
съ,100100010011000
сё,100100010011001
т!,10010001001101
т;,100100010011100
т»,100100010011101
тп,10010001001111
тч,10010001010000
тъ,100100010100010
тю,100100010100011
т…,100100010100100
у),100100010100101
у!,10010001010011
у:,10010001010100
у?,10010001010101
у;,1001000101011
у»,100100010110000
уи,100100010110001
уя,100100010110010
у…,100100010110011
ущ,1001000101101
уй,100100010111
ух,10010001100
фр,10010001101000
х!,100100011010010
хе,100100011010011
х.,1001000110101
хв,10010001101100
хр,10010001101101
х…,100100011011100
"ц,",100100011011101
цв,100100011011110
ци,100100011011111
ц ,1001000111000
цо,1001000111001
ч!,100100011101000
чл,100100011101001
ч»,10010001110101
чо,10010001110110
чр,100100011101110
ч…,100100011101111
ш ,100100011110000
ш»,100100011110001
щн,10010001111001
ъя,10010001111010
ы!,100100011110110
ы;,100100011110111
ы.,1001000111110
ыг,1001000111111
 –,10010010
шн,10010011000
ыд,1001001100100
ы…,100100110010100
ь;,100100110010101
ь!,10010011001011
ып,100100110011
ыр,10010011010
ыч,10010011011
сл,100100111
 п,100101
се,10011000
у ,10011001
ь-,10011010000000
ь»,100110100000010
ьб,100110100000011
ьд,100110100000100
эк,100110100000101
ьц,10011010000011
ьз,1001101000010
ьч,10011010000110
ь…,10011010000111
ьм,100110100010
эн,100110100011000
эх,100110100011001
ю;,100110100011010
юн,100110100011011
ю…,100110100011100
я-,100110100011101
я!,10011010001111
бл,1001101001
ое,100110101
ит,10011011
це,100111000
я:,100111001000000
яв,100111001000001
я?,10011100100001
я»,10011100100010
яп,100111001000110
яр,100111001000111
ях,100111001001000
яя,100111001001001
я…,10011100100101
ящ,1001110010011
ба,10011100101
? ,1001110011
ах,1001110100
вл,10011101010
д ,10011101011
зв,10011101100
иф,10011101101
йт,10011101110
мы,10011101111
го,1001111
 в,101000
ог,10100100
ат,10100101
ая,101001100
оч,101001101
"х,",10100111000
ье,10100111001
гл,1010011101
ек,101001111
ве,10101000
кл,1010100100
ью,10101001010
 ц,101010010110
"?
",101010010111
лу,101010011
му,101010100
ыл,101010101
дн,101010110
":
",10101011100
: ,10101011101
"»,",101010111100
аи,101010111101
ач,10101011111
о ,101011
ре,10110000
гр,1011000100
дм,101100010100
зу,101100010101
ещ,10110001011
кс,101100011000
лк,101100011001
лн,10110001101
нч,101100011100
пя,101100011101
т.,101100011110
уе,101100011111
по,1011001
 м,10110100
да,10110101
ня,1011011000
у.,10110110010
ун,101101100110
ч ,101101100111
ев,101101101
ис,101101110
ме,101101111
ак,10111000
чн,10111001000
шо,101110010010
щи,101110010011
ь.,10111001010
"к,",10111001011
ед,101110011
 г,10111010
 е,10111011
им,101111000
ки,101111001
ей,101111010
ав,101111011
не,1011111
вы,110000000
ке,11000000100
о-,11000000101
рь,11000000110
ув,11000000111
ми,110000010
фо,11000001100
я.,11000001101
ые,1100000111
 к,1100001
ым,1100010000
ял,1100010001
би,1100010010
ры,1100010011
ем,11000101
хо,110001100
с ,110001101
"ь,",110001110
"
у",1100011110000
«н,1100011110001
"»
",1100011110010
» ,1100011110011
а-,1100011110100
а…,1100011110101
бв,1100011110110
вк,1100011110111
аг,11000111110
ай,11000111111
но,1100100
 у,11001010
де,11001011
дк,1100110000000
ею,1100110000001
ео,110011000001
др,11001100001
дь,11001100010
зг,110011000110
зе,110011000111
зж,110011001000
зк,1100110010010
зл,1100110010011
и!,1100110010100
к-,1100110010101
ии,110011001011
ию,110011001100
м:,1100110011010
рх,1100110011011
ох,11001100111
лс,1100110100
оя,11001101010
"р,",110011010110
рс,110011010111
пе,110011011
т?,1100111000000
уз,1100111000001
ца,110011100001
тя,11001110001
ут,1100111001
цу,1100111010000
ын,1100111010001
ык,110011101001
чу,11001110101
ща,11001110110
ыс,110011101110
ыш,110011101111
ча,110011110
ь:,1100111110000
яг,1100111110001
ья,110011111001
ю.,110011111010
яж,1100111110110
ё ,110011111011100
’o,110011111011101
"
i",11001111101111
ьн,1100111111
"

",11010000
й ,11010001
од,11010010
ае,1101001100
ош,1101001101
"и,",110100111
на,1101010
ст,1101011
ен,11011000
ще,1101100100
ят,1101100101
аш,11011001100
га,11011001101
ир,11011001110
иц,11011001111
кр,1101101000
кт,11011010010
мя,11011010011
ля,1101101010
о.,11011010110
ыт,11011010111
ил,11011011
"о,",110111000
тн,1101110010
ич,1101110011
от,11011101
"а,",110111100
ег,110111101
м ,11011111
ал,1110000
лю,1110001000
уд,1110001001
ям,111000101000
вд,111000101001
! ,11100010101
гу,111000101100
иж,111000101101
еб,11100010111
. ,11100011
ел,11100100
 ж,111001010
ад,111001011
ам,111001100
еж,11100110100
еп,11100110101
ех,11100110110
иш,111001101110
рв,111001101111
"й,",1110011100
рк,11100111010
с.,111001110110
сс,111001110111
рц,1110011110
уб,11100111110
уг,11100111111
ол,11101000
ос,11101001
ет,11101010
ор,11101011
то,1110110
ук,11101110000
шл,11101110001
"ю,",11101110010
ют,111011100110
ян,111011100111
ви,111011101
ер,11101111
ть,11110000
 ч,11110001
 о,1111001
ри,11110100
ру,1111010100
сп,1111010101
ты,1111010110
яс,11110101110
вр,11110101111
ом,11110110
чт,111101110
"е,",111101111
об,111110000
ы ,111110001
дя,11111001000
и.,11111001001
еч,1111100101
зд,1111100110
их,11111001110
"л,",11111001111
л ,11111010
лы,11111011000
м.,11111011001
нт,11111011010
ои,11111011011
пи,1111101110
пл,11111011110
рн,11111011111
сн,11111100000
…»,1111110000100
 (,11111100001010
 d,11111100001011
"
«",111111000011
ту,1111110001
 л,111111001
пр,11111101
ся,111111100
ма,111111101
па,1111111100
"
о",111111110100
"!
",111111110101
 ш,11111111011
 а,1111111110
 х,1111111111
